X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount
,,76,392566D,2023/01/02 12:00:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,77,392571D,2023/01/02 14:12:00+00,1000  EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,78,392346D,2023/01/02 09:11:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,79,392569D,2023/01/02 18:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25
,,80,395964D,2023/01/02 22:33:00+00,2300 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,81,376224D,2023/01/02 12:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
-8472480.69195986,5319313.54344282,82,395967D,2023/01/02 22:42:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,83,395969D,2023/01/02 22:48:00+00,20 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472480.69195986,5319313.54344282,84,395968D,2023/01/02 22:45:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472480.69195986,5319313.54344282,85,395970D,2023/01/02 22:57:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472509.24542119,5319650.80768329,86,395971D,2023/01/02 22:55:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8472480.69195986,5319313.54344282,87,395972D,2023/01/02 22:56:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,88,395975D,2023/01/02 23:03:00+00,2700 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,89,392347D,2023/01/02 14:32:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
-8472509.24542119,5319650.80768329,90,395973D,2023/01/02 22:58:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,91,392349D,2023/01/02 17:45:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,92,392348D,2023/01/02 15:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,25
-8472509.24542119,5319650.80768329,93,395974D,2023/01/02 22:59:00+00,100 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,94,395978D,2023/01/02 23:14:00+00,100 DIDAMA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,95,395977D,2023/01/02 23:11:00+00,200 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472952.57529883,5319142.17401007,96,395979D,2023/01/02 23:17:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8472952.57529883,5319142.17401007,97,395980D,2023/01/02 23:19:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473618.32155827,5318651.38929538,98,395981D,2023/01/02 23:27:00+00,400 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,99,395984D,2023/01/02 23:35:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473618.32155827,5318651.38929538,100,395983D,2023/01/02 23:30:00+00,400 WESTCOTT ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,101,395987D,2023/01/02 23:37:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473719.00992931,5317809.71240169,102,395988D,2023/01/02 23:48:00+00,700 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,103,395985D,2023/01/02 23:31:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,104,395990D,2023/01/02 23:59:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,105,395989D,2023/01/02 23:50:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
-8473640.86368371,5316562.41554059,106,395991D,2023/01/02 23:57:00+00,200 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,107,394117D,2023/01/02 09:27:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60
,,108,377056D,2023/01/02 19:42:00+00,109 EDWARDS AVE N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8478567.0851721,5318384.07328765,109,340108D,2023/01/02 18:30:00+00,403 SEYMOUR ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8475315.49844549,5322187.53459083,110,394120D,2023/01/02 10:44:00+00,400 HELEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,111,371244D,2023/01/02 11:40:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473662.40399452,5322618.16087489,112,381321D,2023/01/02 11:03:00+00,300 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,113,394358D,2023/01/02 09:20:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,114,391201D,2023/01/03 06:34:00+00,100 SCHULER ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,115,391203D,2023/01/03 06:36:00+00,kfd6789 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,116,391202D,2023/01/03 06:36:00+00,800 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,117,3911204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,118,391205D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473847.24999223,5321510.09248022,119,391206D,2023/01/03 06:46:00+00,100 MOONEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,120,391207D,2023/01/03 06:59:00+00,300 DURSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,121,395996D,2023/01/03 00:16:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473408.42855475,5317366.97143526,122,395993D,2023/01/03 00:05:00+00,200 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60
-8473408.42855475,5317366.97143526,123,395994D,2023/01/03 00:07:00+00,200 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,25
,,124,395997D,2023/01/03 00:17:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,125,391204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,126,395947D,2023/01/03 00:00:00+00, UNKNOWN,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,127,23500001,2023/01/03 09:57:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,128,23500003,2023/01/03 10:00:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,129,23500002,2023/01/03 09:57:00+00,300 FORMAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,130,23500005,2023/01/03 10:01:00+00,300 FORMAN AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,25
,,131,23500004,2023/01/03 10:01:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,25
,,132,23500006,2023/01/03 10:03:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25
,,133,23500007,2023/01/03 10:04:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,134,230700001,2023/01/03 10:15:00+00,200 HILLSIDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,135,230700002,2023/01/03 10:17:00+00,100 LOMA AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied ,60
-8475594.52081043,5319321.76925427,136,23500010,2023/01/03 10:16:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8475594.52081043,5319321.76925427,137,23500011,2023/01/03 10:19:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
-8475594.52081043,5319321.76925427,138,23500009,2023/01/03 10:12:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8475594.52081043,5319321.76925427,139,23500008,2023/01/03 10:11:00+00,900 FAYETTE ST E,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,25
,,140,230700003,2023/01/03 10:20:00+00,1700 COURT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,141,230700004,2023/01/03 10:21:00+00,1700 COURT ST,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25
,,142,230700005,2023/01/03 10:27:00+00,300 HARFORD RD,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,25
,,143,230700006,2023/01/03 10:27:00+00,300 HARFORD RD,LEFT WHEELS TO CURB/ALL CO15-301,Issued,25
,,144,230700007,2023/01/03 10:27:00+00,300 HARFORD RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8475181.74815719,5319258.7048678,145,23500012,2023/01/03 10:26:00+00,105 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
,,146,23500013,2023/01/03 10:28:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
,,147,231500002,2023/01/03 10:29:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,148,231500001,2023/01/03 10:28:00+00,100 BURNET AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,149,231500004,2023/01/03 10:36:00+00,100 WAYNE ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,25
,,150,231500003,2023/01/03 10:30:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,151,231500005,2023/01/03 10:36:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8476390.51077701,5324469.80624169,152,230700008,2023/01/03 10:34:00+00,100 CHATHAM PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,153,230700009,2023/01/03 10:38:00+00,300 HARFORD RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,154,231500006,2023/01/03 10:38:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,155,23500014,2023/01/03 10:42:00+00,800 SUMNER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,156,230700010,2023/01/03 10:39:00+00,300 HARFORD RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,157,231500007,2023/01/03 10:42:00+00,200 HAWLEY AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25
,,158,231500008,2023/01/03 10:42:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,159,231500009,2023/01/03 10:43:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0
,,160,230700011,2023/01/03 10:44:00+00, CADILLAC ST,NONE/ONE LICENSE PLATE/ALL VTL402-1,Issued,25
,,161,231500011,2023/01/03 10:48:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Denied,25
,,162,231500010,2023/01/03 10:47:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8476912.48784435,5324124.13785503,163,230700012,2023/01/03 10:46:00+00,400 CADILLAC ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,164,230700013,2023/01/03 10:50:00+00,100 HOOD AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,25
,,165,231500012,2023/01/03 10:48:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied,60
,,166,231500013,2023/01/03 10:50:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,167,231500015,2023/01/03 10:57:00+00,800 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,168,231500014,2023/01/03 10:53:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,169,230700014,2023/01/03 10:50:00+00,100 HOOD AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,170,230700015,2023/01/03 10:53:00+00,100 HOOD AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
,,171,231500016,2023/01/03 10:58:00+00,800 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,0
,,172,23500015,2023/01/03 10:57:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25
,,173,231500017,2023/01/03 10:59:00+00,800 HAWLEY AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25
-8473848.25193024,5318170.2259865,174,23500016,2023/01/03 11:00:00+00,100 JUDSON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60
-8473848.25193024,5318170.2259865,175,23500017,2023/01/03 11:00:00+00,100 JUDSON ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Fourth Notice,60
-8476185.62724552,5322790.96562927,176,230700016,2023/01/03 11:02:00+00,1400 BUTTERNUT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,177,231500018,2023/01/03 11:03:00+00,300 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,178,23500018,2023/01/03 11:05:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
